region	chr	start	end	arm	cyto	overlappedGeneNumDensity	genename	transcriptClass	geneType
chr2:23280000-23720000	chr2	23280000	23720000	2p	p24.1	2	LINC02923,KLHL29	nonCoding,coding	lncRNA,protein_coding
chr12:109580000-109640000	chr12	109580000	109640000	12q	q24.11	1	MVK	coding,nonCoding	protein_coding
chr11:118250000-118300000	chr11	118250000	118300000	11q	q23.3	2	MPZL2,MPZL3	coding,nonCoding	protein_coding
chr17:40630000-40950000	chr17	40630000	40950000	17q	q21.2	12	KRT25,KRT10,KRT26,KRT20,KRT23,KRT28,KRT10-AS1,KRT222,KRT24,KRT12,SMARCE1,KRT27	coding,nonCoding	protein_coding,lncRNA
chr4:188470000-188570000	chr4	188470000	188570000	4q	q35.2	1	LINC01060	nonCoding	lncRNA
chr19:50220000-50300000	chr19	50220000	50300000	19q	q13.33	1	MYH14	coding,nonCoding	protein_coding
chr3:109220000-109320000	chr3	109220000	109320000	3q	q13.13	2	DPPA2,RNU6-1236P	coding,nonCoding	protein_coding,snRNA
chr13:102540000-102860000	chr13	102540000	102860000	13q	q33.1	8	BIVM,METTL21C,POGLUT2,ERCC5,CCDC168,BIVM-ERCC5,TEX30,TPP2	coding,nonCoding	protein_coding,lncRNA
chr6:130250000-130340000	chr6	130250000	130340000	6q	q23.1	1	SAMD3	coding,nonCoding	protein_coding
chr7:67950000-68010000	chr7	67950000	68010000	7q	q11.22				
chr1:47630000-47840000	chr1	47630000	47840000	1p	p33	2	LINC01738,TRABD2B	nonCoding,coding	lncRNA,protein_coding
chr16:88910000-88930000	chr16	88910000	88930000	16q	q24.3	1	CBFA2T3	coding,nonCoding	protein_coding
chr22:45860000-45940000	chr22	45860000	45940000	22q	q13.31	1	WNT7B	coding	protein_coding
